,,,
,,,
Country (or dependent territory),Area,Population,population density
Cook Islands (New Zealand),237,"15,250",64.35
Tajikistan,"143,100","9,127,000",63.78
Ecuador,"276,841","18,354,452",66
Bulgaria,"111,002","6,951,482",62.62
Tanzania,"945,087","55,890,747",59.14
"World (land only, excluding Antarctica)","134,940,000","8,064,187,000",59.76
Panama,"74,177","4,158,783",56.07
Georgia,"69,700","3,729,600",53.51
Nicaragua,"121,428","6,393,824",52.66
World (land only),"148,940,000","8,064,187,000",54.14
Cameroon,"466,050","24,348,251",52.24
Iran,"1,648,195","86,954,113",53
Norfolk Island (Australia),35,"1,748",49.94
Guinea,"245,857","12,218,357",49.7
Afghanistan,"645,807","31,575,018",48.89
Fiji,"18,333","884,887",48.27
Montserrat (United Kingdom),102,"4,922",48.25
Equatorial Guinea,"28,051","1,358,276",48.42
South Africa,"1,220,813","58,775,022",48.14
Djibouti,"23,000","1,078,373",46.89
Liberia,"97,036","4,475,353",46.12
Belarus,"207,600","9,397,800",45.59
Montenegro,"13,812","622,182",45.05
Guinea-Bissau,"36,125","1,604,528",44.42
Madagascar,"587,041","25,680,342",43.75
Lithuania,"65,300","2,793,466",42.78
Colombia,"1,141,748","48,083,000",42
Palau,444,"17,900",40.32
Cocos (Keeling) Islands (Australia),14,544,38.86
Zimbabwe,"390,757","15,159,624",38.8
Democratic Republic of the Congo,"2,345,095","86,790,567",37.01
Mozambique,"799,380","28,571,310",35.74
Venezuela,"916,445","32,219,521",35.16
Faroe Islands (Denmark),"1,399","50,844",34.48
United States,"9,833,517","338,556,148",34
Kyrgyzstan,"199,945","6,309,300",31.56
Latvia,"64,562","1,910,400",29.59
Estonia,"45,339","1,324,820",29.22
Eritrea,"121,100","3,497,117",28.88
Abkhazia,"8,660","243,206",28.08
Bahamas,"13,940","386,870",27.75
Laos,"236,800","6,492,400",27.42
Saint Pierre and Miquelon (France),242,"6,081",25.13
Peru,"1,285,216","32,162,184",25.02
Brazil,"8,515,767","217,083,627",25
Vanuatu,"12,281","304,500",24.79
Solomon Islands,"28,370","682,500",24.06
Somalia,"637,657","15,181,925",23.81
Angola,"1,246,700","29,250,009",23.46
Chile,"756,096","17,373,831",22.98
Sweden,"450,295","10,343,403",22.97
Sudan,"1,839,542","40,782,742",22.17
Zambia,"752,612","16,405,229",21.8
Bhutan,"38,394","872,496",22.72
Uruguay,"176,215","3,518,553",19.97
Somaliland,"176,120","3,508,180",19.92
South Sudan,"644,329","12,778,250",19.83
Åland Islands (Finland),"1,552","29,789",19.19
Papua New Guinea,"462,840","8,935,000",19.3
New Zealand,"270,467","5,419,404",20
Niger,"1,186,408","22,314,743",18.81
Algeria,"2,381,741","43,000,000",18.05
Belize,"22,965","408,487",17.79
Paraguay,"406,752","7,052,983",17.1
Norway,"323,808","5,367,580",16.58
Finland,"338,424","5,527,405",16.33
Argentina,"2,780,400","44,938,712",16.16
Saudi Arabia,"2,149,690","34,218,169",15.92
Republic of the Congo,"342,000","5,399,895",15.79
Mali,"1,248,574","19,107,706",15.3
Christmas Island (Australia),137,"2,072",15.12
Oman,"309,500","4,645,249",15.01
"Saint Helena, Ascension and Tristan da Cunha (United Kingdom)",394,"5,633",14.3
New Caledonia (France),"18,575","258,958",13.94
South Ossetia,"3,900","53,532",13.73
Artsakh,"11,458","150,932",13.17
Chad,"1,284,000","15,353,184",11.96
Turkmenistan,"491,210","5,851,466",11.91
Bolivia,"1,098,581","11,307,314",10.29
Russia,"17,125,242","146,877,088",8.58
Gabon,"267,667","2,067,561",7.72
Central African Republic,"622,436","4,737,423",7.61
Kazakhstan,"2,724,900","18,592,700",6.69
Niue (New Zealand),261,"1,613",6.18
Canada,"9,984,670","39,532,455",4
Botswana,"581,730","2,302,878",3.96
Mauritania,"1,030,700","3,984,233",3.87
Libya,"1,770,060","6,470,956",3.66
Guyana,"214,999","782,225",3.64
Iceland,"102,775","366,130",3.56
Suriname,"163,820","568,301",3.47
Australia,"7,692,024","27,262,104",4
Namibia,"825,118","2,413,643",2.93
French Guiana (France),"86,504","244,118",2.82
Western Sahara,"252,120","567,421",2.25
Mongolia,"1,564,100","3,238,479",2.07
Pitcairn Islands (United Kingdom),47.3,56,1.19
Falkland Islands (United Kingdom),"12,173","2,563",0.21
Svalbard and Jan Mayen (Norway),"61,399","2,655",0.04
Greenland (Denmark),"2,166,000","55,877",0.03
Country (or dependent territory),km,Population,pop./km
Country (or dependent territory),Area,Population,Density
